TIME,V(OUT),V(IN)
7.10623100e-10,2.23130273e-01,9.00000000e-01
7.10933066e-10,1.54411799e-01,9.00000000e-01
7.11243032e-10,1.01341316e-01,9.00000000e-01
7.11552999e-10,6.41929646e-02,9.00000000e-01
7.11862965e-10,4.00563830e-02,9.00000000e-01
7.12172931e-10,2.49648787e-02,9.00000000e-01
7.12482898e-10,1.56012556e-02,9.00000000e-01
7.13102830e-10,5.80647718e-03,9.00000000e-01
7.13722763e-10,2.16699189e-03,9.00000000e-01
7.14342696e-10,8.09506940e-04,9.00000000e-01
7.15582561e-10,3.75623296e-05,9.00000000e-01
7.16822426e-10,1.90082884e-06,9.00000000e-01
7.19302157e-10,-3.80069430e-07,9.00000000e-01
7.21781887e-10,3.45420246e-07,9.00000000e-01
7.26741348e-10,4.40004244e-08,9.00000000e-01
7.36660271e-10,2.49415681e-07,9.00000000e-01
7.56498115e-10,7.66095569e-08,9.00000000e-01
7.86498115e-10,2.34508580e-07,9.00000000e-01
8.10000000e-10,8.85036915e-08,9.00000000e-01
8.10062500e-10,-2.40312413e-03,8.94375000e-01
8.10125000e-10,-4.56353655e-03,8.88750000e-01
8.10250000e-10,-8.46808732e-03,8.77500000e-01
8.10500000e-10,-1.43401041e-02,8.55000000e-01
8.10750000e-10,-1.84194394e-02,8.32500000e-01
8.11250000e-10,-2.39865183e-02,7.87500000e-01
8.11750000e-10,-2.81322502e-02,7.42500000e-01
8.12750000e-10,-3.82761098e-02,6.52500000e-01
8.13750000e-10,-5.42813358e-02,5.62500000e-01
8.14750000e-10,-7.09277847e-02,4.72500000e-01
8.14888285e-10,-7.22903969e-02,4.60054386e-01
8.15164854e-10,-7.35919705e-02,4.35163159e-01
8.15717992e-10,-6.42724127e-02,3.85380705e-01
8.16206399e-10,-3.93909577e-02,3.41424106e-01
8.16645965e-10,-2.20523279e-03,3.01863167e-01
8.17085531e-10,4.85216618e-02,2.62302228e-01
8.17525097e-10,1.12010848e-01,2.22741289e-01
8.17964663e-10,1.86891079e-01,1.83180350e-01
8.18404229e-10,2.70175555e-01,1.43619411e-01
8.18843795e-10,3.58646761e-01,1.04058472e-01
8.19722927e-10,5.45723717e-01,2.49365941e-02
8.20000000e-10,6.06490946e-01,6.66133815e-16
8.20045012e-10,6.18171977e-01,0.00000000e+00
8.20079388e-10,6.26909735e-01,0.00000000e+00
8.20148140e-10,6.44015923e-01,0.00000000e+00
8.20285644e-10,6.76036352e-01,0.00000000e+00
8.20423148e-10,7.05106130e-01,0.00000000e+00
